Latitude,Longitude,Desc,
34.0205,-118.28538,Tommy Trojan,
34.13832102,-118.3533139,Universal Studio Hollywood,
34.02888612,-118.2726884,The Lorenzo,
34.02078756,-118.2891649,USC Viterbi School of Engineering,
34.07823128,-118.473795,The Getty,
34.05491097,-118.2493434,The Broad,
34.0640656,-118.3587036,LACMA,
34.01784484,-118.2869062,Natural History Museum of Los Angeles County,
33.9775345,-118.4692684,Venice Beach,
34.07406018,-118.3520825,The Grove,
,,,
,,,
,,,
,jiahui,iris,fyn
egg roll,3.99,,
cocoa,,2.5,2.5
bread,4.99,,
pringle,,,2.49
sprite,6.59,,
traisin toast,,3.99,
dahua,27.62,27.62,27.62
farmers,7.5,12.69,7.5
traderjoes,3.82,0.83,0.83
smart,52.69,52.69,52.69
amazon,9.12,9.12,9.12
,116.32,109.44,102.75